,CommunityArea,totalCrimes1,totalCrimes2,totalCrimes3,totalCrimes4,totalCrimes5,totalCrimes6,totalCrimes7,totalCrimes8,totalCrimes9,totalCrimes10,totalCrimes11,totalCrimes12,totalCrimes13,totalCrimes14,totalCrimes15,totalCrimes16,totalCrimes17,sumAllCrimes
0,1,56,6106,7684,7609,7530,7207,6807,6497,5959,5577,5120,4925,4429,3801,3584,3663,4122,90676
1,2,41,4048,5235,5757,5841,6052,5269,5470,5229,4882,4421,4029,3807,3409,3105,3280,3565,73440
2,3,72,6039,7522,7445,7543,6806,6395,6001,5188,5074,4777,4976,4287,3810,3656,3562,3536,86689
3,4,33,2616,3271,3358,3374,3285,2845,2784,2639,2560,2315,2338,2217,1897,1770,1986,1980,41268
4,5,25,2411,3277,3134,2990,2822,2634,2593,2432,2062,1947,1920,1723,1540,1393,1398,1413,35714
5,6,52,6587,8807,8653,7740,7842,8003,8215,7761,7459,7527,7696,6823,5695,5587,6070,5698,116215
6,7,57,6035,7948,7308,6618,6665,6915,6821,6118,5795,5283,5010,4480,4086,3758,4242,4447,91586
7,8,95,12546,15470,15759,14643,14222,13882,13513,12278,11594,11229,11285,10110,8987,9062,10549,12233,197457
8,9,4,323,427,400,461,437,419,473,386,305,369,323,298,243,257,305,271,5701
9,10,11,1466,2086,1894,1748,1822,1780,2002,1714,1444,1447,1465,1230,1253,1276,1320,1086,25044
10,11,18,1440,1868,1707,1610,1804,1621,1777,1509,1398,1300,1410,1336,1231,1156,1071,1044,23300
11,12,6,618,841,775,873,786,745,798,751,695,605,600,443,461,449,572,544,10562
12,13,18,1156,1473,1509,1600,1558,1502,1542,1311,1188,1116,1082,917,872,842,972,956,19614
13,14,39,3201,4434,3801,3920,4093,3706,3821,3582,3547,3097,2945,2689,2400,2530,2412,2463,52680
14,15,51,4651,6508,5929,5855,5445,5345,5731,5294,4639,4391,4160,3971,3386,3444,3238,3345,75383
15,16,51,4192,5495,5160,5163,5067,4707,4909,4661,4529,4309,3937,3490,2847,3015,2986,2986,67504
16,17,30,2298,3078,2801,2653,2487,2693,2943,2696,2350,2159,1930,1831,1568,1659,1753,1506,36435
17,18,11,924,1287,1036,1006,1004,1063,1018,1098,899,851,781,634,525,587,670,608,14002
18,19,96,6399,8599,8144,8367,7883,8034,8055,8316,7588,6872,6364,5708,4965,4829,4761,4569,109549
19,20,33,2105,3092,2842,2641,2740,2629,2486,2472,2416,2062,2052,1965,1788,1731,1549,1499,36102
20,21,59,3607,4805,4827,4356,4168,3885,3950,3874,3744,3372,3277,2673,2369,2261,2282,2329,55838
21,22,130,8918,11366,10652,9436,9600,9195,8928,8694,8166,7331,6793,5852,5096,4801,5457,5036,125451
22,23,228,11236,15493,14541,14800,13714,13056,13265,12772,11829,11151,11212,10255,9204,8178,8001,8027,186962
23,24,122,12341,15388,14156,12866,13013,12342,12729,11794,11361,10139,9684,8207,7339,7075,8238,8269,175063
24,25,282,21112,30834,29487,28376,28895,28535,27260,26036,24295,22715,21345,20229,18757,17339,16692,15305,377494
25,26,108,5595,7420,7880,8428,8414,7936,7427,6395,6377,6281,6674,6676,6206,6019,5773,5346,108955
26,27,112,6358,9179,9191,8317,8615,8412,7924,7169,6960,6412,6186,6272,5794,5442,5020,4728,112091
27,28,101,10853,15807,14768,13213,12147,11613,11590,10363,9809,9668,9414,8507,7891,7933,9448,8997,172122
28,29,147,8719,12348,13369,12737,12079,11347,11411,10426,10850,10008,10390,9790,8689,8383,8769,9001,168463
29,30,78,5917,7546,7892,7518,7438,7699,7341,6326,6289,6019,5778,5107,4765,4448,4685,4497,99343
30,31,43,3546,5000,4762,4230,4336,4307,4072,3652,3493,3447,3293,3076,2706,2527,2616,2606,57712
31,32,86,7292,9571,9307,8953,8731,8715,8732,8067,7840,7605,7774,7785,7289,7590,9016,10563,134916
32,33,36,2744,3984,4357,4701,4435,3648,3866,2269,1999,1767,1863,1812,1778,1876,1934,1913,44982
33,34,15,1356,1725,1652,1704,1631,1223,1354,1240,1368,1442,1539,1293,1224,1083,1011,1017,21877
34,35,40,5346,6517,6846,6843,6181,5468,4227,3174,2932,2699,2772,2787,2560,2518,2604,2604,66118
35,36,8,868,893,904,880,801,944,960,857,860,794,771,712,641,632,698,670,12893
36,37,8,1295,1937,1521,1392,1521,1418,1405,1159,1215,1189,1225,1076,931,842,925,878,19937
37,38,54,6553,8571,7655,6404,6022,5347,5388,5298,4681,4739,4117,3996,3492,3142,3287,3409,82155
38,39,24,2020,2936,2738,2907,2359,2455,2334,2318,2298,2072,1794,1593,1498,1365,1406,1515,33632
39,40,28,3801,5243,5239,5183,5193,4477,4233,4234,4053,4008,3468,3371,2938,2763,2698,2706,63636
40,41,33,2559,3307,3248,3286,2681,2601,2244,2100,2237,2161,1920,1665,1418,1512,1759,1706,36437
41,42,49,5816,8059,8119,7873,7893,8021,7140,6887,6486,5708,5403,4749,4178,3742,3609,3824,97556
42,43,116,10835,14629,14374,14426,14835,14272,14251,13066,12324,12090,11611,10579,9272,9072,8170,8614,192536
43,44,76,6684,9369,9464,9651,9108,9643,9245,8348,7513,7304,7237,7154,6266,6032,6235,6367,125696
44,45,13,1638,2298,2393,2384,2317,2257,2333,2017,1831,1958,1805,1641,1502,1385,1306,1273,30351
45,46,77,6041,8380,8883,8286,8966,8842,8017,7597,6780,6767,6542,5829,5239,5081,4782,4540,110649
46,47,6,470,681,735,715,668,735,744,609,459,456,536,471,402,389,398,365,8839
